ladder
0.9
1.01
1.03
1.05
1.07
1.1
1.12
1.15
1.17
1.2
1.22
1.25
1.27
1.3
1.32
1.35
1.4
1.45
1.5
1.55
1.6
1.65
1.7
1.75
1.8
1.85
1.9
1.95
2
2.05
2.1
2.15
2.2
2.25
2.3
2.35
2.4
2.45
2.5
2.55
2.6
2.65
2.7
2.8
2.9
3
3.1
3.2
3.3
3.4
3.5
3.6
3.7
3.8
3.9
4
4.1
4.2
4.3
4.4
4.5
4.6
4.7
4.8
4.9
5
5.2
5.5
5.7
6
6.5
7
7.5
8
8.5
9
9.5
10
11
12
13
14
15
16
17
18
19
20
22
25
27
30
35
40
45
50
60
70
80
90
100
120
150
170
200
250
300
400
500
